y=1181, x=576..579
y=434, x=498..503
x=647, y=653..675
y=1204, x=593..595
y=268, x=475..498
x=599, y=619..638
y=1130, x=452..478
x=439, y=1365..1377
y=652, x=589..595
y=1552, x=560..577
x=439, y=852..867
x=605, y=292..298
x=489, y=709..718
x=567, y=1087..1097
y=1774, x=631..634
x=649, y=592..612
x=610, y=533..555
x=564, y=996..1008
x=651, y=416..441
y=1106, x=502..519
y=1015, x=479..487
x=572, y=25..35
x=630, y=849..865
x=573, y=884..897
x=614, y=667..688
x=464, y=1542..1567
x=645, y=258..270
y=1029, x=656..662
y=1502, x=483..511
x=589, y=1553..1555
x=535, y=1792..1795
x=469, y=166..193
x=484, y=1117..1142
x=655, y=1277..1295
x=598, y=162..170
y=620, x=430..455
x=665, y=1205..1212
x=501, y=1347..1364
x=661, y=664..684
x=583, y=131..142
x=542, y=722..727
x=475, y=748..761
x=602, y=1386..1393
x=578, y=1651..1662
y=1711, x=598..603
y=164, x=642..660
x=488, y=1176..1183
x=644, y=207..221
x=654, y=1678..1691
y=1673, x=448..454
x=630, y=1299..1312
y=695, x=472..474
x=465, y=1022..1045
x=645, y=1216..1243
x=623, y=423..437
x=625, y=200..219
x=565, y=1153..1166
x=490, y=1510..1519
x=553, y=941..947
x=634, y=1101..1126
x=515, y=111..113
y=1146, x=427..438
y=1096, x=451..460
x=464, y=1339..1346
x=612, y=1383..1396
y=500, x=516..532
x=555, y=941..947
x=528, y=1243..1270
x=646, y=1136..1146
y=887, x=470..484
x=617, y=316..343
x=575, y=1060..1069
y=1047, x=443..455
y=1120, x=527..580
x=514, y=126..135
y=292, x=484..500
x=556, y=75..91
y=646, x=494..518
x=644, y=552..568
x=509, y=8..17
y=735, x=591..614
x=586, y=1215..1228
y=1335, x=443..465
y=495, x=522..526
x=610, y=864..867
y=221, x=639..644
y=1346, x=464..469
x=489, y=967..983
x=602, y=1277..1289
x=620, y=1348..1375
x=575, y=1736..1744
x=629, y=462..466
y=270, x=645..652
x=518, y=1244..1270
x=576, y=1151..1162
x=483, y=970..973
y=1349, x=606..610
y=1335, x=634..655
y=1671, x=650..657
x=619, y=243..265
x=585, y=558..563
x=536, y=1876..1887
x=652, y=551..559
x=593, y=1256..1268
x=440, y=1480..1496
y=1401, x=520..541
x=624, y=1297..1306
x=501, y=1510..1528
x=587, y=567..575
y=1470, x=560..580
y=776, x=519..523
x=601, y=981..983
x=516, y=655..666
y=1803, x=573..578
x=504, y=1654..1677
y=1931, x=537..667
x=540, y=145..163
x=616, y=204..210
x=473, y=1856..1859
x=547, y=241..259
x=664, y=932..939
x=475, y=306..316
y=1572, x=622..628
x=641, y=985..1001
x=527, y=1572..1575
x=447, y=1116..1124
x=595, y=650..652
y=1326, x=616..619
x=626, y=822..835
x=583, y=1063..1075
x=576, y=1212..1222
y=1206, x=486..495
x=602, y=1885..1910
x=460, y=1781..1805
y=996, x=521..527
x=591, y=1083..1103
x=569, y=1563..1574
y=785, x=560..579
y=857, x=522..524
x=599, y=804..805
x=651, y=1724..1736
y=637, x=449..467
x=455, y=815..842
x=476, y=1327..1345
y=1533, x=615..624
y=1268, x=633..655
x=653, y=295..299
x=522, y=388..415
y=1365, x=462..487
y=1430, x=428..438
x=487, y=488..499
y=1150, x=599..608
x=559, y=1922..1927
x=664, y=170..193
y=1531, x=441..444
y=1315, x=600..604
x=603, y=1541..1543
x=664, y=1401..1420
x=580, y=322..345
x=449, y=627..637
y=1749, x=497..511
x=577, y=1060..1069
y=289, x=492..494
x=443, y=1330..1335
x=487, y=405..416
x=603, y=18..33
y=1312, x=612..630
x=605, y=625..633
x=546, y=1230..1232
x=553, y=1126..1142
x=441, y=936..943
y=1715, x=544..641
y=1693, x=594..596
x=649, y=1151..1170
x=490, y=405..416
x=602, y=1602..1623
y=142, x=580..583
x=574, y=646..660
y=789, x=479..485
y=1093, x=640..655
y=1200, x=501..508
y=225, x=557..572
x=591, y=727..735
x=515, y=1653..1665
x=467, y=489..499
y=193, x=459..469
x=593, y=1143..1162
x=461, y=489..493
x=547, y=198..217
x=522, y=61..73
x=626, y=1767..1779
y=446, x=437..448
y=840, x=443..451
x=496, y=597..601
x=650, y=1004..1013
x=429, y=936..943
x=557, y=812..822
x=542, y=1633..1635
x=469, y=1607..1615
y=1654, x=624..626
x=504, y=787..798
x=569, y=1868..1875
y=902, x=641..644
y=1170, x=649..651
x=606, y=532..555
x=493, y=1509..1528
x=452, y=1410..1425
x=535, y=468..480
x=599, y=1150..1158
y=1486, x=429..437
y=415, x=518..522
x=511, y=1490..1502
x=634, y=1765..1774
x=539, y=869..879
x=470, y=1413..1418
x=516, y=1641..1648
y=598, x=432..434
x=494, y=807..818
x=477, y=1875..1898
x=577, y=77..98
x=477, y=324..337
x=451, y=1510..1535
x=590, y=838..849
x=565, y=1872..1898
x=516, y=825..831
x=541, y=869..879
y=695, x=427..444
x=437, y=1166..1194
x=593, y=1279..1292
x=518, y=469..480
x=532, y=1851..1861
y=1861, x=532..536
y=1485, x=636..652
y=1887, x=493..496
x=436, y=749..766
y=1268, x=593..610
y=1145, x=512..520
y=334, x=482..485
