on x=-24..26,y=-5..40,z=-7..41
on x=-45..2,y=-46..2,z=-20..29
on x=-8..39,y=-3..44,z=-25..29
on x=-22..30,y=-17..33,z=-39..8
on x=3..48,y=-43..11,z=-3..46
on x=-40..6,y=-11..34,z=-6..42
on x=-41..12,y=-23..31,z=-11..41
on x=-38..9,y=-47..-1,z=-11..33
on x=-36..9,y=-42..12,z=-18..32
on x=-9..38,y=-4..40,z=-25..24
off x=-19..-10,y=38..47,z=23..39
on x=-16..31,y=-7..38,z=-17..35
off x=29..44,y=-30..-12,z=-34..-25
on x=-37..17,y=-12..41,z=-36..15
off x=7..24,y=-15..-4,z=-7..10
on x=-8..40,y=-28..21,z=-43..8
off x=-11..-2,y=-37..-21,z=7..22
on x=-34..10,y=-28..21,z=-24..22
off x=2..16,y=-30..-18,z=36..49
on x=-35..16,y=-49..-3,z=-22..30
on x=5609..42139,y=50616..72254,z=41186..72055
on x=8139..25638,y=13750..35548,z=-79037..-70984
on x=51479..87500,y=24707..48115,z=-35295..-18227
on x=-73373..-55575,y=-50506..-23676,z=13875..21644
on x=-607..11075,y=32563..61072,z=-73961..-60677
on x=-54644..-32648,y=36095..52276,z=35524..44082
on x=3293..21195,y=23897..37964,z=64664..86731
on x=16277..34415,y=-51093..-44153,z=-65799..-46099
on x=57734..71356,y=9270..32187,z=-47281..-41642
on x=-17556..-2370,y=-65143..-40143,z=-65900..-42874
on x=27731..54850,y=-19951..-1638,z=64477..78243
on x=-46220..-25546,y=49098..67401,z=-24289..-8395
on x=-75694..-55646,y=8031..19015,z=-63498..-35375
on x=-82098..-64478,y=-7489..10895,z=-28050..-13416
on x=-17763..619,y=-38818..-18917,z=62021..80644
on x=-4036..21697,y=63232..90278,z=9932..21454
on x=-51009..-37805,y=-48120..-12965,z=-62976..-42322
on x=-10062..13435,y=-2713..27657,z=-95464..-67967
on x=53211..73081,y=-23539..-1570,z=30720..43005
on x=-87267..-52185,y=-25633..-10717,z=-57489..-22751
on x=-32246..-14833,y=40609..75319,z=47772..65055
on x=-28576..-9217,y=-65715..-35614,z=-66074..-35414
on x=-62100..-44706,y=-57479..-35266,z=25863..59774
on x=60075..84270,y=-39918..-27513,z=20052..37583
on x=-69755..-45869,y=-53994..-23866,z=25435..41774
on x=-81219..-56849,y=34988..67299,z=-36361..-6405
on x=-34896..-20511,y=-347..23007,z=65255..91319
on x=31628..57325,y=53947..76849,z=-39280..-15147
on x=2567..24296,y=-90225..-75834,z=-9435..-5411
on x=66209..79130,y=-1616..27541,z=-28640..1210
on x=-56973..-28039,y=9052..28251,z=-82655..-45613
on x=-21899..3543,y=23278..40219,z=56829..77737
on x=-37829..-22108,y=-63324..-34494,z=49476..61540
on x=27796..45837,y=-8932..13099,z=-69432..-64995
on x=-26462..1385,y=-80972..-64977,z=23581..52939
on x=18633..28209,y=-29248..-12757,z=62374..85976
on x=-63102..-52110,y=-69518..-44021,z=5993..16383
on x=-38388..-20775,y=-73119..-59089,z=-29565..-12624
on x=54496..71150,y=-2290..27080,z=-51819..-40956
on x=-62145..-38898,y=37344..47889,z=-46932..-22048
on x=-10609..-6237,y=-2296..11308,z=75214..88196
on x=43193..64498,y=44990..67787,z=3458..13502
on x=24383..31323,y=-63066..-46002,z=-57425..-46587
on x=31586..53656,y=43699..64126,z=-70386..-49751
on x=-6151..16087,y=24273..36658,z=67208..85968
on x=-28144..-8234,y=64628..78855,z=12447..35783
on x=-27791..-7570,y=7608..33671,z=56408..76897
on x=-71639..-37867,y=4786..41009,z=-65116..-49576
on x=29202..54934,y=42169..71478,z=12165..38477
on x=50789..86692,y=-27446..-11708,z=24940..46842
on x=68399..77340,y=-42140..-5435,z=23709..40953
on x=-50452..-17475,y=-55608..-32284,z=54133..62151
on x=-4270..17413,y=-91556..-67738,z=-44049..-21075
on x=43903..60390,y=-76164..-65052,z=-13211..19384
on x=21664..34686,y=57591..78789,z=-43915..-30761
on x=18428..25188,y=43685..82567,z=28711..62777
on x=4529..25520,y=-6802..9035,z=77117..85087
on x=-74034..-47153,y=-2394..12502,z=-76632..-45849
on x=-43913..-29276,y=-54624..-37109,z=30419..58292
on x=64879..76845,y=13634..34024,z=12635..43854
on x=6776..30399,y=78355..79046,z=-5764..4016
on x=-63878..-36489,y=-40818..-12939,z=39742..75011
on x=-36585..-8062,y=6370..26056,z=-96611..-70555
on x=37751..43126,y=61066..83536,z=-36569..-16414
on x=-48606..-38344,y=-48139..-39347,z=-65833..-47665
on x=31017..41410,y=-36971..-24044,z=-71220..-57847
on x=49779..79602,y=44542..67326,z=1267..19402
on x=-3734..20108,y=-94944..-68655,z=15541..22442
on x=-76300..-56024,y=41858..53403,z=11257..41111
on x=-71004..-31442,y=54465..65052,z=-2000..12106
