8-41,8-79
1-71,2-71
11-74,74-75
44-96,43-96
79-79,3-78
67-86,50-93
15-42,41-93
21-98,20-99
42-53,13-41
51-80,38-79
13-13,13-93
14-20,20-66
34-64,33-34
93-94,56-93
28-59,58-90
9-58,4-8
39-79,32-87
60-62,48-61
1-76,21-75
1-11,2-12
7-85,4-7
5-69,26-69
10-95,11-96
73-99,65-97
6-67,1-35
26-48,29-44
3-85,1-3
51-53,14-52
38-64,37-70
19-30,30-55
73-77,72-73
28-65,28-66
30-60,47-87
32-32,30-34
82-96,3-97
12-63,13-63
42-91,19-91
38-45,45-80
4-98,14-76
22-91,23-90
9-84,10-41
79-98,48-92
41-45,41-46
15-94,30-89
13-84,25-83
60-68,37-69
35-86,7-87
32-78,31-78
4-98,4-99
20-20,20-93
5-88,87-88
9-42,4-12
44-97,54-86
32-82,6-26
39-41,40-42
10-76,10-75
5-99,2-99
48-48,47-99
1-1,1-91
60-75,59-61
31-32,32-33
21-88,22-88
11-42,11-11
57-75,74-95
94-94,94-94
60-84,58-86
18-87,11-18
14-34,29-33
64-90,22-69
33-95,71-96
10-93,9-93
18-18,18-68
3-94,93-93
38-38,38-78
79-81,67-86
24-73,3-73
93-94,46-94
10-97,11-35
5-93,4-98
3-99,47-97
31-60,59-86
1-67,45-68
22-84,59-83
24-72,23-73
15-78,16-77
90-90,85-92
43-91,44-92
2-88,86-89
4-38,4-37
43-87,44-87
4-91,5-91
23-37,27-46
1-4,3-99
77-77,78-81
33-35,33-37
80-87,81-81
5-52,6-99
66-66,52-66
6-96,16-92
16-89,4-98
60-60,60-97
5-62,1-6
38-91,38-38
4-14,13-57
7-53,7-54
1-97,13-97
2-90,3-46
19-19,20-96
3-33,33-33
28-42,29-42
25-76,47-76
16-24,25-44
55-71,55-71
29-76,28-89
17-90,17-89
1-98,10-99
6-43,22-42
7-95,67-95
4-97,97-98
62-94,62-95
4-86,5-87
6-83,6-89
18-26,26-69
95-98,10-95
7-86,1-7
91-92,27-91
3-75,8-87
38-53,30-52
11-85,9-12
39-83,39-83
62-94,10-63
12-35,35-97
15-17,16-87
2-93,1-92
33-86,34-87
4-19,19-92
5-70,69-90
10-97,5-97
82-83,41-82
16-29,16-29
1-82,5-81
62-71,61-72
6-99,8-99
10-44,6-10
14-45,13-92
36-37,37-91
11-41,22-68
51-78,79-95
19-36,28-36
4-91,9-92
3-98,3-3
1-44,2-43
4-22,4-22
24-89,42-89
72-98,57-73
28-92,4-29
60-91,25-61
2-89,5-88
71-73,3-71
17-99,24-98
88-96,3-88
39-74,75-75
52-92,4-93
18-56,53-97
27-75,16-71
81-94,1-82
65-67,15-66
77-79,77-79
16-33,17-34
83-87,29-84
84-84,20-85
26-28,27-82
6-66,66-66
8-72,9-59
9-99,10-97
48-48,47-47
7-58,6-57
46-58,23-70
2-2,2-93
20-33,20-20
7-20,8-15
17-67,16-17
2-21,1-99
5-5,4-72
79-95,9-96
7-38,7-38
8-98,6-99
68-84,10-68
19-35,2-34
5-43,3-9
15-62,14-14
82-95,48-96
75-77,34-76
33-65,65-66
95-95,19-95
12-88,13-87
28-68,25-30
12-37,8-91
38-63,16-63
41-58,53-57
12-42,29-71
68-96,68-96
6-77,78-78
22-37,23-36
65-74,64-75
36-88,35-99
3-49,13-32
84-91,1-84
13-66,13-66
9-92,10-91
26-26,26-27
10-17,15-35
68-82,59-83
27-69,26-58
82-92,10-81
12-18,12-18
29-35,29-46
60-71,71-71
6-80,79-95
2-12,1-3
19-77,20-77
95-97,88-95
55-79,21-54
3-4,9-97
23-98,23-98
1-4,3-47
2-26,1-2
22-72,9-22
3-84,13-83
43-45,18-44
49-53,51-51
15-85,16-85
7-21,4-21
1-24,1-25
16-86,16-16
79-87,80-86
1-95,57-97
4-99,29-99
97-98,6-98
46-78,53-83
28-82,51-93
59-95,32-96
11-32,23-33
13-29,24-47
7-74,11-73
28-36,36-89
17-83,18-82
2-85,10-66
4-79,4-78
36-62,61-79
50-52,28-51
22-48,3-28
51-92,68-91
29-91,28-92
9-52,8-53
7-97,55-96
16-59,15-92
98-98,3-97
67-72,15-72
15-52,5-77
1-78,3-79
6-66,3-3
48-64,63-63
6-97,6-97
27-27,19-27
2-72,1-71
47-59,48-79
12-61,13-65
50-57,38-62
30-73,65-70
79-94,79-93
