LRLRRLRLRRRLRRRLRRLRLLRLRLRRRLRLRRLLRRLLRRRLLRRRLRRRLRRLLRLRRRLRRLRLRLLRRLLRRRLLRLRRRLRRRLLRLRRRLLRLLRRLRLRRRLLRLRLLRRRLLRLRRRLLLRRRLLLRRLLLRRRLLRLRLRLRRLLRRRLRRLRRRLRRLRRRLRLRRLRLRRRLRLRRRLRRLRRRLRLLLRLRRRLRLLRLRRLRRRLRRLRLRLRLRRLRRLLRLLLRLRLRRRLRRRLLRLLRLRRLRRRLRRLRRRLRLRRRR

JKT = (KFV, CFQ)
SQQ = (RLK, TRV)
CVT = (KRT, NCV)
JVS = (GXT, QMF)
KPF = (GCH, FCH)
XTQ = (GFM, FSP)
QBJ = (PXR, FMK)
KXQ = (FMK, PXR)
LTM = (CML, TMP)
CMD = (DFJ, GXS)
VJK = (KGN, HBX)
QTP = (KBP, CNM)
MBT = (GTN, QXG)
HGQ = (PFJ, FXL)
MDV = (CVJ, PMR)
KJQ = (TQF, HTS)
CBB = (XRL, XSP)
AAA = (QXT, CDL)
RPS = (FXF, MQL)
BPH = (VBF, FBJ)
RQM = (GVB, RKD)
KNQ = (MPV, DLX)
XSS = (LBB, SVD)
VXB = (MGQ, GCD)
XBR = (JCG, LTM)
HGR = (MFL, GGF)
SJA = (KJB, VFS)
CBL = (JFX, BBF)
KXN = (XCL, VVG)
FKV = (HGQ, TVS)
HBS = (SSP, HPN)
PTG = (GJC, TCN)
DJG = (CSP, XCC)
CNM = (JFS, FXR)
KGD = (MXP, GFC)
PMR = (SXV, RSK)
RPR = (QLD, SBT)
NFK = (DTC, NTR)
JKH = (HSF, RXX)
TXG = (VNS, PVQ)
TRS = (MSQ, BRT)
MLF = (PLL, LMX)
CDD = (SHR, FKT)
CQM = (KSF, FPN)
KSL = (XPD, NMG)
LBB = (TBB, RVJ)
DQJ = (TNP, JLT)
KLC = (KGC, BNK)
CSL = (CVC, MVR)
NCG = (JVS, JTD)
JQL = (CBL, KCH)
FBF = (FKV, DLC)
JHM = (HMD, HCH)
DGP = (BGB, JGR)
SSH = (PHG, MVV)
CSG = (QTP, TPG)
KSF = (FPV, DKV)
DJS = (PCC, RDN)
XLB = (LKT, NCQ)
XDS = (LNG, SLS)
MFT = (KJT, LSH)
STD = (PSS, JQH)
LGM = (JMD, FLJ)
GPR = (KGQ, FFB)
KJT = (XRK, JPP)
FQN = (KNQ, PNH)
CRR = (KSR, DPR)
RRD = (NCG, KKD)
FLJ = (LNL, QPR)
MQL = (SKC, BFB)
FST = (XHS, QDN)
DRT = (MQL, FXF)
RDN = (HQB, HSD)
SQH = (HTS, TQF)
VBN = (BRD, TXB)
CXV = (VMM, TXG)
MSQ = (XSJ, BRG)
PLL = (QSM, PCS)
NTD = (PLN, GKV)
GHP = (NCQ, LKT)
CXG = (XGV, VVT)
CPZ = (MVB, MKR)
GSQ = (FXV, PPG)
BCG = (LMQ, JMM)
FMK = (RQD, QJG)
CJQ = (BFV, XDS)
DLC = (HGQ, TVS)
LML = (JFC, DNN)
XTC = (TDD, VPV)
QHP = (SKP, CTC)
TBB = (QBJ, KXQ)
GPG = (VNX, DPZ)
SSS = (CFM, HQK)
DFJ = (MBV, RPX)
DLX = (RGT, VSJ)
KLL = (JKG, TPV)
NKT = (GDK, LDD)
GCH = (MLF, BFM)
PPG = (BFJ, DCR)
KHF = (HGD, MNX)
SLK = (BXX, KBV)
TDL = (FLP, DLB)
GCS = (VPL, JVR)
FPN = (DKV, FPV)
NKL = (RCL, KQH)
NHS = (FDJ, DXC)
DHN = (RCK, KVD)
QJG = (GPV, XQK)
DKD = (MFB, PTB)
FDJ = (HHQ, BJS)
TPX = (GGF, MFL)
JKG = (HBB, HLJ)
BFV = (LNG, SLS)
XTL = (LCS, XNT)
NRM = (GNX, GKS)
XSJ = (JCT, CDD)
JXR = (CBL, KCH)
TRV = (QDC, HNH)
GXS = (MBV, RPX)
HPN = (HVF, XRJ)
SSD = (FST, NBJ)
KGQ = (DMM, GKG)
DDC = (XTQ, KVK)
XHL = (MKR, MVB)
HXD = (CGG, CGG)
DSH = (BVJ, BJM)
ZZZ = (CDL, QXT)
LQL = (FVD, KLR)
BNK = (VVN, BNP)
PLD = (GJV, HDP)
JCG = (TMP, CML)
VTK = (KQN, JHS)
MNX = (TTP, SVH)
VTC = (DKN, HXM)
JPP = (GPB, QHQ)
HQK = (GGP, FMV)
QDC = (MBB, FGH)
QRD = (JML, VGV)
SXV = (HGL, NGL)
BRJ = (FKV, DLC)
DCF = (PGX, VJK)
BGF = (BQX, PMT)
JML = (FXD, KTT)
GFC = (JBN, KVS)
FBB = (JQN, NQV)
SKC = (CSG, RQJ)
SLX = (NHS, JCS)
QDN = (KHF, VXD)
MBV = (DSC, RPD)
DMM = (MVD, NHX)
QMF = (CVM, HDJ)
JCT = (SHR, FKT)
RKL = (HNF, DKC)
SMV = (RDK, RDK)
TNP = (BHL, XNQ)
XNQ = (JQL, JXR)
GGF = (GDD, XTM)
RQD = (XQK, GPV)
LSJ = (BBC, PJS)
KCR = (VCL, JVJ)
KCH = (JFX, BBF)
QRT = (BTX, KFQ)
JCS = (FDJ, DXC)
GVB = (PXL, NDD)
BMC = (VNV, FSM)
PCS = (QQT, NXG)
BKQ = (QXV, DHP)
GTN = (DTS, DXQ)
KBV = (NBK, GSQ)
GKS = (QLJ, DSH)
MPG = (RMJ, DSM)
GBB = (KQH, RCL)
SGT = (CGG, MLZ)
TCP = (JCG, LTM)
RPD = (GNF, VFG)
PCB = (GMV, MCN)
GVX = (MRF, GXC)
XGF = (KCR, CDF)
PXS = (DLQ, DBS)
GDK = (JKB, MJF)
BPR = (TKH, DKD)
PXL = (XTL, JPJ)
CSP = (NRR, XDK)
RSK = (NGL, HGL)
BTX = (QBF, VPJ)
XPD = (QRD, FQG)
MJQ = (KQN, JHS)
BLC = (TDD, VPV)
TTP = (PTG, CQX)
XSG = (GNV, DMT)
NBJ = (QDN, XHS)
KFQ = (VPJ, QBF)
KNN = (XHL, CPZ)
JVK = (XPJ, NRC)
NRV = (MRD, VVM)
DGC = (MRN, RKL)
VMM = (VNS, PVQ)
HFK = (QHX, MNT)
SCQ = (VKL, XGR)
BXA = (MKR, MVB)
RDK = (LJP, GVX)
KXM = (RCF, CQR)
CMQ = (DJS, DHQ)
VNS = (DDF, SSS)
HJC = (CPM, CJM)
VNX = (VPC, LVQ)
DSM = (BSJ, GCS)
TTT = (FBJ, VBF)
LDN = (CVJ, PMR)
JTD = (QMF, GXT)
XSP = (BPR, SHS)
QXT = (LVG, PLD)
VFS = (XSS, CTN)
TFK = (FLP, DLB)
KLR = (FSQ, BNJ)
GDG = (QQJ, HBN)
QJK = (SHX, MCT)
LKT = (TCJ, XLP)
CMH = (VBB, GPG)
JDV = (BQX, BQX)
VPV = (SFH, BJD)
GFM = (KXM, CPG)
BDX = (LQX, QXJ)
HGL = (VTS, QCT)
GRN = (KJB, VFS)
HNF = (HBC, NFK)
VMN = (CJM, CPM)
GPV = (JQQ, JVH)
BCV = (RQM, FVV)
SSG = (JKH, XMT)
KBP = (FXR, JFS)
VVT = (XVP, LSF)
BPS = (BMK, JFK)
BXJ = (DJG, JRH)
VSS = (NBM, NLM)
PMH = (FLJ, JMD)
BSJ = (JVR, VPL)
GPS = (BKR, TGN)
BKM = (SLX, JCD)
LMM = (GTB, CMD)
KKP = (MJQ, VTK)
NTG = (HXD, HXD)
DHP = (DCD, BKM)
XGP = (DBJ, PKP)
GGP = (SCQ, QFS)
NXR = (DSK, XGP)
XNH = (BHP, SVB)
HLN = (XSP, XRL)
KJH = (SSH, QQC)
QSM = (NXG, QQT)
JHS = (PQH, CVR)
RLK = (HNH, QDC)
KGC = (VVN, BNP)
BPK = (JFC, DNN)
KJB = (CTN, XSS)
VCL = (MPG, XCX)
PKR = (NCG, KKD)
NMG = (QRD, FQG)
JVH = (HDK, NPX)
NBM = (STN, PXS)
MLX = (PNK, BCV)
LVG = (HDP, GJV)
DVN = (PTP, XGF)
XDK = (SQS, VMQ)
CVR = (GBB, NKL)
SKV = (HMD, HCH)
QTA = (HTQ, CLV)
TPG = (KBP, CNM)
VPL = (XVC, JCX)
BKR = (BPS, PJD)
NSP = (NBJ, FST)
HBC = (NTR, DTC)
TRB = (PLN, GKV)
HDK = (KDG, FBC)
CFM = (FMV, GGP)
RPX = (RPD, DSC)
HMD = (HVM, KKP)
SXX = (SHX, MCT)
QJV = (GRN, FPZ)
DKC = (NFK, HBC)
XCL = (MLD, CHG)
XRJ = (LMV, QTK)
HVM = (VTK, MJQ)
VFG = (VTC, PVX)
LQX = (NTG, NTG)
KQD = (GCD, MGQ)
PJD = (BMK, JFK)
FKT = (JDN, CMH)
BHL = (JXR, JQL)
NLM = (PXS, STN)
KDG = (XLB, GHP)
NQV = (GDV, NKS)
QDQ = (SJL, KGD)
DTC = (QNG, PPK)
QHQ = (KDJ, JPF)
BBF = (THF, JVF)
QQJ = (KJH, QDK)
JFC = (GLL, TXF)
KNX = (CVC, MVR)
VBF = (TJM, GQJ)
QQC = (MVV, PHG)
FXF = (BFB, SKC)
FPZ = (VFS, KJB)
PNH = (DLX, MPV)
TXB = (KCQ, QHP)
TRL = (KSH, XJT)
DKV = (MHK, JLV)
MKR = (DRT, RPS)
FPV = (MHK, JLV)
SLV = (MNV, NTC)
SRB = (GDN, CJQ)
BMK = (BBT, TVP)
NQK = (LQL, GCM)
CDF = (VCL, JVJ)
BBH = (SDD, GJR)
DLB = (QDQ, FHL)
XVC = (DXV, NXR)
KFC = (RQK, TJJ)
HDP = (MNM, HHJ)
